保険者番号,保険者名,平均年収
6120778,雇用支援機構健康保険組合,600 - 650
6120786,マツキヨココカラ＆カンパニー健康保険組合,600 - 650
6120794,オエノンホールディングス健康保険組合,700 - 750
6120802,バンテック健康保険組合,650 - 700
6120810,ＪＮＣ健康保険組合,750 - 800
6130025,東京計器健康保険組合,750 - 800
6130058,王子製紙健康保険組合,750 - 800
6130066,ＴＯＰＰＡＮグループ健康保険組合,750 - 800
6130074,富士電機健康保険組合,800 - 850
6130082,フジクラ健康保険組合,750 - 800
6130090,日本電気健康保険組合,800 - 850
6130108,明電舎健康保険組合,750 - 800
6130124,ニコン健康保険組合,750 - 800
6130132,ライオン健康保険組合,800 - 850
6130157,東洋製罐健康保険組合,750 - 800
6130165,日本化薬健康保険組合,750 - 800
6130173,パイロット健康保険組合,700 - 750
6130181,大日本印刷健康保険組合,750 - 800
6130199,共同印刷健康保険組合,700 - 750
6130207,三菱製鋼健康保険組合,750 - 800
6130231,森永健康保険組合,700 - 750
6130256,住友大阪セメント健康保険組合,750 - 800
6130298,東京瓦斯健康保険組合,800 - 850
6130306,ＩＨＩグループ健康保険組合,800 - 850
6130314,日東紡績健康保険組合,650 - 700
6130363,片倉健康保険組合,600 - 650
6130389,東京西南私鉄連合健康保険組合,750 - 800
6130405,第一三共グループ健康保険組合,1000 - 1250
6130439,京成電鉄健康保険組合,700 - 750
6130447,横河電機健康保険組合,800 - 850
6130454,花王健康保険組合,800 - 850
6130462,マルハニチロ健康保険組合,750 - 800
6130488,東武鉄道健康保険組合,700 - 750
6130512,コニカミノルタ健康保険組合,750 - 800
6130538,日曹健康保険組合,700 - 750
6130553,トプコン健康保険組合,750 - 800
6130579,住友ベークライト健康保険組合,800 - 850
6130587,レゾナック健康保険組合,800 - 850
6130611,ニッスイ健康保険組合,750 - 800
6130637,共同通信社健康保険組合,1000 - 1250
6130645,安田日本興亜健康保険組合,900 - 1000
6130660,第一生命健康保険組合,1000 - 1250
6130686,三菱健康保険組合,750 - 800
6130702,みずほ健康保険組合,800 - 850
6130728,朝日生命健康保険組合,750 - 800
6130736,松屋健康保険組合,700 - 750
6130769,明治安田生命健康保険組合,800 - 850
6130777,日本銀行健康保険組合,900 - 1000
6130785,三井健康保険組合,800 - 850
6130835,あいおいニッセイ同和健康保険組合,800 - 850
6130843,資生堂健康保険組合,750 - 800
6130850,Ｔ＆Ｄフィナンシャル生命健康保険組合,750 - 800
6130868,富国生命健康保険組合,750 - 800
6130892,大和証券グループ健康保険組合,1250 - 1000000000000
6130926,三越伊勢丹健康保険組合,650 - 700
6130934,プルデンシャル健康保険組合,1250 - 1000000000000
6130975,沖電気工業健康保険組合,700 - 750
6130991,富士紡健康保険組合,650 - 700
6131056,昭和飛行機健康保険組合,700 - 750
6131064,三井住友銀行健康保険組合,800 - 850
6131080,日油健康保険組合,750 - 800
6131106,小糸健康保険組合,750 - 800
6131114,東京地下鉄健康保険組合,750 - 800
6131122,日清紡健康保険組合,700 - 750
6131163,サッポロビール健康保険組合,800 - 850
6131189,三菱ケミカル健康保険組合,850 - 900
6131213,日野自動車健康保険組合,700 - 750
6131221,セントラル硝子健康保険組合,750 - 800
6131254,オリンパス健康保険組合,850 - 900
6131262,古河健康保険組合,750 - 800
6131270,北越コーポレーション健康保険組合,650 - 700
6131288,日本放送協会健康保険組合,900 - 1000
6131296,読売健康保険組合,1000 - 1250
6131338,雪印メグミルク健康保険組合,750 - 800
6131346,ニチレイ健康保険組合,750 - 800
6131353,ＪＵＫＩ健康保険組合,700 - 750
6131361,理研健康保険組合,850 - 900
6131379,東京港運健康保険組合,600 - 650
6131403,日本精工健康保険組合,650 - 700
6131429,三井住友海上健康保険組合,800 - 850
6131452,ＮＸグループ健康保険組合,700 - 750
6131460,ジェイティービー健康保険組合,650 - 700
6131528,松竹健康保険組合,750 - 800
6131536,時事通信社健康保険組合,900 - 1000
6131551,出版健康保険組合,700 - 750
6131569,鉄道弘済会健康保険組合,600 - 650
6131577,産経健康保険組合,700 - 750
6131585,東京海上日動健康保険組合,1250 - 1000000000000
6131619,ニッセイ・ウェルス生命健康保険組合,800 - 850
6131635,アステラス健康保険組合,1000 - 1250
6131643,大平洋金属健康保険組合,750 - 800
6131668,三菱ＵＦＪ銀行健康保険組合,800 - 850
6131676,シチズン健康保険組合,700 - 750
6131718,日本フエルト健康保険組合,600 - 650
6131734,マニュライフ生命健康保険組合,850 - 900
6131742,ＡＧＣ健康保険組合,800 - 850
6131783,東京港健康保険組合,600 - 650
6131791,駐留軍要員健康保険組合,650 - 700
6131817,日本製紙健康保険組合,750 - 800
6131841,東京中央卸売市場健康保険組合,550 - 600
6131882,アサヒグループ健康保険組合,800 - 850
6131924,三菱マテリアル健康保険組合,750 - 800
6131932,東京証券業健康保険組合,850 - 900
6131999,慶応義塾健康保険組合,900 - 1000
6132013,社会保険支払基金健康保険組合,650 - 700
6132039,ブリヂストン健康保険組合,750 - 800
6132047,東京スター銀行健康保険組合,750 - 800
6132054,東京電力健康保険組合,800 - 850
6132070,日本電設工業健康保険組合,750 - 800
6132088,早稲田大学健康保険組合,900 - 1000
6132104,地域医療機能推進機構健康保険組合,650 - 700
6132112,日本経済新聞社健康保険組合,1250 - 1000000000000
6132120,帝石健康保険組合,850 - 900
6132146,電通健康保険組合,1000 - 1250
6132161,明治大学健康保険組合,850 - 900
6132211,東京織物健康保険組合,550 - 600
6132237,高砂鐵工健康保険組合,700 - 750
6132245,三菱製紙健康保険組合,700 - 750
6132260,キリンビール健康保険組合,800 - 850
6132278,東ソー関連健康保険組合,800 - 850
6132286,農林中央金庫健康保険組合,1000 - 1250
6132294,東京都信用金庫健康保険組合,600 - 650
6132302,日本軽金属健康保険組合,700 - 750
6132310,海空運健康保険組合,750 - 800
6132336,東京紙商健康保険組合,650 - 700
6132344,東京都食品健康保険組合,600 - 650
6132369,商工中金健康保険組合,750 - 800
6132393,電源開発健康保険組合,800 - 850
6132401,中央大学健康保険組合,800 - 850
6132427,全国印刷工業健康保険組合,650 - 700
6132443,東京ニットファッション健康保険組合,500 - 550
6132468,東京実業健康保険組合,600 - 650
6132476,東糧健康保険組合,550 - 600
6132484,公庫関係健康保険組合,750 - 800
6132492,日本郵船健康保険組合,900 - 1000
6132500,東京都医業健康保険組合,600 - 650
6132518,太平洋セメント健康保険組合,750 - 800
6132526,トピー健康保険組合,700 - 750
6132559,三菱重工健康保険組合,850 - 900
6132567,共栄火災健康保険組合,750 - 800
6132583,キヤノン健康保険組合,750 - 800
6132633,立教学院健康保険組合,800 - 850
6132641,東京片倉健康保険組合,600 - 650
6132658,全農健康保険組合,750 - 800
6132674,法政大学健康保険組合,800 - 850
6132682,三菱瓦斯化学健康保険組合,850 - 900
6132690,酒フーズ健康保険組合,600 - 650
6132724,東京医科大学健康保険組合,650 - 700
6132732,文化学園健康保険組合,600 - 650
6132757,東亞合成健康保険組合,800 - 850
6132765,日本航空健康保険組合,700 - 750
6132773,ＳＭＢＣ日興証券グループ健康保険組合,1000 - 1250
6132781,東京金属事業健康保険組合,650 - 700
6132799,東京都歯科健康保険組合,500 - 550
6132815,日新火災健康保険組合,750 - 800
6132831,住友金属鉱山健康保険組合,800 - 850
6132849,日産化学健康保険組合,800 - 850
6132856,名糖健康保険組合,650 - 700
6132864,ＡＤＥＫＡ健康保険組合,750 - 800
6132930,住宅金融支援機構健康保険組合,750 - 800
6132948,東京薬業健康保険組合,700 - 750
6132963,明治グループ健康保険組合,800 - 850
6132971,関電工健康保険組合,750 - 800
6132989,日本甜菜製糖健康保険組合,650 - 700
6133003,国際興業健康保険組合,600 - 650
6133011,明治屋健康保険組合,700 - 750
6133029,日本交通健康保険組合,550 - 600
6133037,日活健康保険組合,700 - 750
6133045,東京放送健康保険組合,1000 - 1250
6133086,ホンダ健康保険組合,800 - 850
6133102,日本製鉄健康保険組合,750 - 800
6133169,中央ラジオ・テレビ健康保険組合,700 - 750
6133177,日本高速道路健康保険組合,750 - 800
6133193,不二家健康保険組合,600 - 650
6133235,日刊工業新聞社健康保険組合,700 - 750
6133250,リコー三愛グループ健康保険組合,800 - 850
6133276,管工業健康保険組合,650 - 700
6133300,東京都木材産業健康保険組合,600 - 650
6133326,プラチナ萬年筆健康保険組合,550 - 600
6133334,ファイザー健康保険組合,1250 - 1000000000000
6133342,ソニー健康保険組合,1000 - 1250
6133367,日本テレビ放送網健康保険組合,1250 - 1000000000000
6133375,自動車振興会健康保険組合,650 - 700
6133409,日本相撲協会健康保険組合,550 - 600
6133417,日本中央競馬会健康保険組合,800 - 850
6133425,ヤマトグループ健康保険組合,700 - 750
6133433,ＴＤＫ健康保険組合,750 - 800
6133441,東宝健康保険組合,900 - 1000
6133474,三菱ＵＦＪ信託銀行健康保険組合,850 - 900
6133516,協和キリン健康保険組合,900 - 1000
6133524,岩崎通信機健康保険組合,700 - 750
6133532,東日本電線工業健康保険組合,650 - 700
6133540,東京自転車健康保険組合,550 - 600
6133557,トーハツ健康保険組合,650 - 700
6133565,中外製薬健康保険組合,1000 - 1250
6133573,三菱商事健康保険組合,1250 - 1000000000000
6133581,日清製粉健康保険組合,750 - 800
6133599,ニップン健康保険組合,750 - 800
6133607,電設工業健康保険組合,650 - 700
6133615,ａｚｂｉｌグループ健康保険組合,800 - 850
6133623,東京都自動車整備健康保険組合,550 - 600
6133631,ＤＩＣ健康保険組合,750 - 800
6133649,昭和産業健康保険組合,750 - 800
6133706,ジャノメ健康保険組合,700 - 750
6133714,三井物産健康保険組合,1250 - 1000000000000
6133722,音羽健康保険組合,650 - 700
6133730,三菱電機健康保険組合,800 - 850
6133771,帝都自動車健康保険組合,550 - 600
6133821,飯野健康保険組合,650 - 700
6133839,日本貨物検数健康保険組合,600 - 650
6133854,信越化学健康保険組合,1000 - 1250
6133862,東京アパレル健康保険組合,550 - 600
6133870,東京文具販売健康保険組合,550 - 600
6133888,東京文具工業健康保険組合,600 - 650
6133904,東光高岳健康保険組合,750 - 800
6133912,オカモト健康保険組合,650 - 700
6133920,東京トラック事業健康保険組合,550 - 600
6133938,野村證券健康保険組合,1250 - 1000000000000
6133946,日本アイ・ビー・エム健康保険組合,1000 - 1250
6133953,日本ゼオン健康保険組合,750 - 800
6133961,帝国ホテル健康保険組合,600 - 650
6133987,志村化工健康保険組合,650 - 700
6134001,東京貨物運送健康保険組合,550 - 600
6134019,関東信用組合連合健康保険組合,600 - 650
6134035,毎日新聞健康保険組合,1000 - 1250
6134050,三井化学健康保険組合,900 - 1000
6134084,朝日新聞健康保険組合,1000 - 1250
6134159,エーザイ健康保険組合,1000 - 1250
6134167,エクシオグループ健康保険組合,750 - 800
6134175,学研健康保険組合,700 - 750
6134183,博報堂健康保険組合,1000 - 1250
6134241,ＳＵＢＡＲＵ健康保険組合,750 - 800
6134274,帝国データバンク健康保険組合,700 - 750
6134282,ニチバン健康保険組合,700 - 750
6134290,ミツミ健康保険組合,650 - 700
6134340,東京都家具健康保険組合,550 - 600
6134357,全国硝子業健康保険組合,650 - 700
6134365,石油製品販売健康保険組合,600 - 650
6134381,東京化粧品健康保険組合,600 - 650
6134415,日本冶金工業健康保険組合,750 - 800
6134431,ジブラルタ健康保険組合,750 - 800
6134449,Ｊ－オイルミルズ健康保険組合,750 - 800
6134456,澁澤健康保険組合,650 - 700
6134464,近畿日本ツーリスト健康保険組合,600 - 650
6134480,シナネン健康保険組合,750 - 800
6134498,横浜ゴム健康保険組合,750 - 800
6134506,カーリット健康保険組合,700 - 750
6134514,東海カーボン健康保険組合,750 - 800
6134522,倉庫業健康保険組合,650 - 700
6134530,東京都皮革産業健康保険組合,550 - 600
6134548,丸井健康保険組合,650 - 700
6134555,全日本空輸健康保険組合,700 - 750
6134571,三井住友トラスト・グループ健康保険組合,850 - 900
6134589,日本化学工業健康保険組合,750 - 800
6134597,大沢健康保険組合,600 - 650
6134605,首都高速道路健康保険組合,700 - 750
6134613,全国労働金庫健康保険組合,700 - 750
6134621,パッケージ工業健康保険組合,650 - 700
6134670,アルプス電気健康保険組合,750 - 800
6134720,日本製鋼所健康保険組合,750 - 800
6134753,大正製薬健康保険組合,900 - 1000
6134761,太平電業健康保険組合,750 - 800
6134787,立正佼成会健康保険組合,650 - 700
6134795,コムシスホールディングス健康保険組合,750 - 800
6134803,東京都電機健康保険組合,700 - 750
6134845,東武流通健康保険組合,550 - 600
6134878,大陽日酸健康保険組合,750 - 800
6134886,東京製本健康保険組合,600 - 650
6134902,大日精化健康保険組合,700 - 750
6134910,東京ドーム健康保険組合,700 - 750
6134928,日本合板健康保険組合,600 - 650
6134936,ミツウロコ健康保険組合,700 - 750
6134969,中村屋健康保険組合,650 - 700
6134977,ＭＳＤ健康保険組合,1250 - 1000000000000
6135008,タチエス健康保険組合,650 - 700
6135016,ツカモトグループ健康保険組合,600 - 650
6135024,ロジスティード健康保険組合,700 - 750
6135040,パレット健康保険組合,550 - 600
6135057,ＤＯＷＡ健康保険組合,750 - 800
6135107,ＨＯＹＡ健康保険組合,850 - 900
6135123,三井倉庫ホールディングス健康保険組合,800 - 850
6135156,タムラ製作所健康保険組合,650 - 700
6135172,機缶健康保険組合,650 - 700
6135180,藤田観光健康保険組合,600 - 650
6135222,東京都ニット健康保険組合,500 - 550
6135248,東京都報道事業健康保険組合,750 - 800
6135255,東京都電気工事健康保険組合,650 - 700
6135354,東京自動車サービス健康保険組合,550 - 600
6135362,フランスベッドグループ健康保険組合,650 - 700
6135370,ミライト・ワン健康保険組合,750 - 800
6135388,印刷製本包装機械健康保険組合,650 - 700
6135396,関東百貨店健康保険組合,600 - 650
6135404,セイコー健康保険組合,700 - 750
6135412,ニユートーキヨー健康保険組合,550 - 600
6135438,東京女子医科大学健康保険組合,600 - 650
6135453,日清オイリオグループ健康保険組合,750 - 800
6135461,ニヤクコーポレーション健康保険組合,650 - 700
6135479,ＮＯＫ健康保険組合,700 - 750
6135487,日揮健康保険組合,1000 - 1250
6135537,日本電子健康保険組合,700 - 750
6135545,商船三井健康保険組合,1000 - 1250
6135552,創聖健康保険組合,600 - 650
6135578,ルックグループ健康保険組合,550 - 600
6135594,プログレス健康保険組合,650 - 700
6135610,佐藤工業健康保険組合,750 - 800
6135628,東京都鉄二健康保険組合,650 - 700
6135636,杏林健康保険組合,850 - 900
6135644,千代田グラビヤ健康保険組合,600 - 650
6135651,若築建設健康保険組合,750 - 800
6135677,日本電気計器検定所健康保険組合,650 - 700
6135727,東日本プラスチック健康保険組合,600 - 650
6135750,東京機器健康保険組合,650 - 700
6135768,あおぞら銀行健康保険組合,850 - 900
6135776,計機健康保険組合,650 - 700
6135784,全国設計事務所健康保険組合,700 - 750
6135818,ぺんてる健康保険組合,650 - 700
6135826,日本国土開発健康保険組合,750 - 800
6135834,大和製罐健康保険組合,750 - 800
6135842,吉野工業所健康保険組合,700 - 750
6135859,オンワード樫山健康保険組合,600 - 650
6135875,鷺宮健康保険組合,650 - 700
6135891,セメント商工健康保険組合,650 - 700
6135909,東京広告業健康保険組合,700 - 750
6135917,三菱地所健康保険組合,1000 - 1250
6135958,東洋水産健康保険組合,750 - 800
6135974,ＮＩＰＰＯ健康保険組合,750 - 800
6135982,テルモ健康保険組合,800 - 850
6135990,東京自動車教習所健康保険組合,550 - 600
6136006,東京都金属プレス工業健康保険組合,600 - 650
6136048,スタンレー電気健康保険組合,750 - 800
6136097,伊藤忠連合健康保険組合,1250 - 1000000000000
6136105,日本ケミコン健康保険組合,650 - 700
6136113,井門エンタープライズ健康保険組合,600 - 650
6136154,プリマハム健康保険組合,700 - 750
6136162,セコム健康保険組合,650 - 700
6136196,外国運輸金融健康保険組合,750 - 800
6136204,東和システム健康保険組合,650 - 700
6136246,三菱自動車健康保険組合,750 - 800
6136261,東洋ガラス健康保険組合,650 - 700
6136279,関東めっき健康保険組合,600 - 650
6136295,綜合警備保障健康保険組合,600 - 650
6136303,ドッドウェル健康保険組合,650 - 700
6136345,ロッテ健康保険組合,650 - 700
6136352,日本金属健康保険組合,700 - 750
6136378,東京都土木建築健康保険組合,650 - 700
6136394,独立行政法人鉄道建設・運輸施設整備支援機構健康保険組合,650 - 700
6136410,東京都洋菓子健康保険組合,500 - 550
6136428,玩具人形健康保険組合,550 - 600
6136436,ヤクルト健康保険組合,750 - 800
6136477,ＢＩＰＲＯＧＹ健康保険組合,750 - 800
6136485,三機工業健康保険組合,750 - 800
6136493,東部ゴム健康保険組合,600 - 650
6136501,ＭＢＫ連合健康保険組合,1000 - 1250
6136519,セブン＆アイ・ホールディングス健康保険組合,600 - 650
6136527,東京商工リサーチ健康保険組合,650 - 700
6136550,コーセー健康保険組合,700 - 750
6136568,日本金型工業健康保険組合,650 - 700
6136592,ミドリ安全健康保険組合,650 - 700
6136618,ＬＩＸＩＬ健康保険組合,750 - 800
6136634,内田洋行健康保険組合,700 - 750
6136642,ニューオータニ健康保険組合,600 - 650
6136659,ＳＢＩ新生銀行健康保険組合,800 - 850
6136667,日本道路健康保険組合,700 - 750
6136683,日拓健康保険組合,550 - 600
6136691,ニチアス健康保険組合,750 - 800
6136709,税務会計監査事務所健康保険組合,800 - 850
6136717,科研製薬健康保険組合,900 - 1000
6136725,エービービー健康保険組合,800 - 850
6136741,イマジカ健康保険組合,650 - 700
6136758,農林水産関係法人健康保険組合,700 - 750
6136766,国会議員秘書健康保険組合,700 - 750
6136790,東京屋外広告ディスプレイ健康保険組合,650 - 700
6136808,カシオ健康保険組合,750 - 800
6136840,ナイガイ健康保険組合,550 - 600
6136857,日本石油輸送グループ健康保険組合,650 - 700
6136881,荏原健康保険組合,800 - 850
6136899,日新製糖健康保険組合,650 - 700
6136907,ＢＩＪ健康保険組合,700 - 750
6136915,服装健康保険組合,550 - 600
6136923,経済団体健康保険組合,750 - 800
6136956,通信機器産業健康保険組合,700 - 750
6136972,日本情報機器健康保険組合,700 - 750
6136980,東京製綱健康保険組合,750 - 800
6136998,紀文健康保険組合,600 - 650
6137004,吉原商品健康保険組合,550 - 600
6137020,五洋建設健康保険組合,750 - 800
6137079,日本自動車部品工業健康保険組合,650 - 700
6137087,産業機械健康保険組合,650 - 700
6137095,ＴＳＩホールディングス健康保険組合,600 - 650
6137103,大京健康保険組合,700 - 750
6137111,三晃金属工業健康保険組合,700 - 750
6137129,ＧＷＡ健康保険組合,650 - 700
6137186,アダストリア健康保険組合,550 - 600
6137194,東亜道路健康保険組合,750 - 800
6137202,東京電子機械工業健康保険組合,650 - 700
6137210,測量地質健康保険組合,600 - 650
6137236,長谷工健康保険組合,800 - 850
6137251,経済産業関係法人健康保険組合,700 - 750
6137269,テレビ朝日健康保険組合,1250 - 1000000000000
6137277,デパート健康保険組合,600 - 650
6137293,冨士工健康保険組合,650 - 700
6137301,ミサワホーム健康保険組合,750 - 800
6137327,三菱電機ビルソリューションズ健康保険組合,750 - 800
6137335,ダイヤ連合健康保険組合,750 - 800
6137350,持田製薬健康保険組合,900 - 1000
6137368,文化シヤッター健康保険組合,700 - 750
6137376,キユーピー・アヲハタ健康保険組合,700 - 750
6137384,小松製作所健康保険組合,800 - 850
6137392,月島機械健康保険組合,750 - 800
6137400,三菱ＵＦＪニコス健康保険組合,750 - 800
6137418,東京都情報サービス産業健康保険組合,700 - 750
6137442,東京都農林漁業団体健康保険組合,550 - 600
6137467,栗田健康保険組合,700 - 750
6137491,住友重機械健康保険組合,800 - 850
6137517,ポーラ・オルビスグループ健康保険組合,650 - 700
6137541,前田道路健康保険組合,750 - 800
6137558,三和ホールディングス健康保険組合,700 - 750
6137566,アクサ生命健康保険組合,900 - 1000
6137590,小田急グループ健康保険組合,700 - 750
6137608,リクルート健康保険組合,900 - 1000
6137640,パレス健康保険組合,650 - 700
6137657,ジャックス健康保険組合,700 - 750
6137665,全国外食産業ジェフ健康保険組合,500 - 550
6137715,セントラル警備保障健康保険組合,600 - 650
6137723,日本原子力発電健康保険組合,850 - 900
6137772,オリエントコーポレーション健康保険組合,700 - 750
6137780,ＳＣＳＫ健康保険組合,750 - 800
6137798,日本テキサスインスツルメンツ健康保険組合,850 - 900
6137814,日本工営健康保険組合,750 - 800
6137822,サノフィ健康保険組合,1000 - 1250
6137848,日本旅行健康保険組合,600 - 650
6137855,三菱ＵＦＪ証券グループ健康保険組合,1250 - 1000000000000
6137863,大塚商会健康保険組合,750 - 800
6137871,サンリオ健康保険組合,550 - 600
6137897,全国信用保証協会健康保険組合,650 - 700
6137905,電子回路健康保険組合,650 - 700
6137913,オリックスグループ健康保険組合,850 - 900
6137947,マルエツ健康保険組合,500 - 550
6137988,リケンテクノス健康保険組合,750 - 800
6137996,やまと健康保険組合,550 - 600
6138002,ユニマット健康保険組合,550 - 600
6138010,ＡＩＧ健康保険組合,1000 - 1250
6138044,船場健康保険組合,600 - 650
6138069,アフラック健康保険組合,900 - 1000
6138077,東京不動産業健康保険組合,750 - 800
6138085,全国商品取引業健康保険組合,650 - 700
6138093,関東ＩＴソフトウェア健康保険組合,700 - 750
6138101,川崎汽船健康保険組合,900 - 1000
6138119,ＴＣＳグループ健康保険組合,650 - 700
6138127,ＩＨＧ・ＡＮＡホテルズ健康保険組合,600 - 650
6138143,コスモエネルギーグループ健康保険組合,800 - 850
6138150,日立健康保険組合,900 - 1000
6138168,セントラルスポーツ健康保険組合,500 - 550
6138184,いなげや健康保険組合,500 - 550
6138192,太陽生命健康保険組合,750 - 800
6138226,Ｈ．Ｕ．グループ健康保険組合,750 - 800
6138234,民間放送健康保険組合,1000 - 1250
6138275,アドバンテスト健康保険組合,900 - 1000
6138283,朝信健康保険組合,600 - 650
